sample	var_count	new_count	tot_captured	pct_captured
HG02666	61	61	61	0.0613
HG02107	52	29	90	0.0905
NA18499	51	25	115	0.1156
HG01956	42	20	135	0.1357
NA19380	45	18	153	0.1538
HG02613	50	17	170	0.1709
HG01786	47	12	182	0.1829
NA19043	48	9	191	0.192
HG02837	43	8	199	0.2
HG03473	45	8	207	0.208
HG01886	56	7	214	0.2151
HG03238	47	7	221	0.2221
NA19035	45	7	228	0.2291
NA19914	52	7	235	0.2362
HG00273	37	6	241	0.2422
HG01108	46	6	247	0.2482
HG02073	54	6	253	0.2543
HG03640	36	6	259	0.2603
HG03708	29	6	265	0.2663
HG01079	34	5	270	0.2714
HG02573	41	5	275	0.2764
HG02968	41	5	280	0.2814
HG03478	48	5	285	0.2864
HG03727	33	5	290	0.2915
NA12829	32	5	295	0.2965
NA19901	34	5	300	0.3015
NA19913	48	5	305	0.3065
HG01954	54	4	309	0.3106
HG01971	42	4	313	0.3146
HG02029	37	4	317	0.3186
HG02057	50	4	321	0.3226
HG02594	27	4	325	0.3266
HG02658	28	4	329	0.3307
HG02970	33	4	333	0.3347
NA12144	43	4	337	0.3387
NA18916	46	4	341	0.3427
NA18986	48	4	345	0.3467
NA19319	28	4	349	0.3508
NA20320	33	4	353	0.3548
NA20587	42	4	357	0.3588
NA20809	56	4	361	0.3628
NA20810	32	4	365	0.3668
HG00355	44	3	368	0.3698
HG00451	47	3	371	0.3729
HG00473	47	3	374	0.3759
HG01063	33	3	377	0.3789
HG01131	46	3	380	0.3819
HG01779	49	3	383	0.3849
HG01869	50	3	386	0.3879
HG01965	43	3	389	0.391
